,First Name,Last Name,Bib,Gender Pos,Split Name,Time of Day,Distance,Hours,Minutes,Seconds,Milliseconds
244,Alex,Forte,366,M21,Finish,Sat 2:39:32 PM,62.2 mi,8,39,32,599
245,Scott,Traer,1009,M22,Antelope Mesa,Sat 6:51:30 AM,7.6 mi,00,51,30,210
246,Scott,Traer,1009,M22,Hidden Treasure,Sat 7:26:14 AM,12.8 mi,1,26,14,720
247,Scott,Traer,1009,M22,Bumble Bee,Sat 8:12:22 AM,19.2 mi,2,12,22,338
248,Scott,Traer,1009,M22,Gloriana Mine,Sat 8:49:18 AM,23.8 mi,2,49,18,889
249,Scott,Traer,1009,M22,Deep Canyon Ranch,Sat 9:57:23 AM,32.2 mi,3,57,23,760
250,Scott,Traer,1009,M22,Black Canyon City,Sat 10:44:02 AM,37.7 mi,4,44,02,469
251,Scott,Traer,1009,M22,Cottonwood Gulch,Sat 12:02:47 PM,45.3 mi,6,02,47,579
252,Scott,Traer,1009,M22,Table Mesa,Sat 12:44:18 PM,49.4 mi,6,44,18,240
253,Scott,Traer,1009,M22,Finish,Sat 2:39:49 PM,62.2 mi,8,39,49,478
254,Alex,Proctor,821,M23,Start,Sat 6:00:05 AM,0.0 mi,00,00,05,570
255,Alex,Proctor,821,M23,Antelope Mesa,Sat 6:54:08 AM,7.6 mi,00,54,08,250
256,Alex,Proctor,821,M23,Hidden Treasure,Sat 7:30:36 AM,12.8 mi,1,30,36,779
257,Alex,Proctor,821,M23,Bumble Bee,Sat 8:21:31 AM,19.2 mi,2,21,31,588
